,Start,Target,Distance
523,Ankara,Georgetown,9625
524,Ankara,Glasgow,3230
525,Ankara,Guatemala City,11597
526,Ankara,Guayaquil,12095
527,Ankara,Hamburg,2292
528,Ankara,Hammerfest,3456
529,Ankara,Havana,10321
530,Ankara,Helsinki,2317
531,Ankara,Hobart,14674
532,Ankara,Hong Kong,7718
533,Ankara,Iquique,12515
534,Ankara,Irkutsk,5433
535,Ankara,Jakarta,9102
536,Ankara,Johannesburg,7368
537,Ankara,Kingston,10314
538,Ankara,Kinshasa,5236
539,Ankara,Kuala Lumpur,7984
540,Ankara,La Paz,12120
541,Ankara,Leeds,2993
542,Ankara,Lima,12555
543,Ankara,Lisbon,3587
544,Ankara,Liverpool,3079
545,Ankara,London,2836
546,Ankara,Lyons,2366
547,Ankara,Madrid,3088
548,Ankara,Manchester,3033
549,Ankara,Manila,8808
550,Ankara,Marseilles,2313
551,Ankara,Mazatln,11828
552,Ankara,Mecca,2149
553,Ankara,Melbourne,14273
554,Ankara,Mexico City,11754
555,Ankara,Milan,2027
556,Ankara,Montevideo,12332
557,Ankara,Moscow,1793
558,Ankara,Munich,1925
559,Ankara,Nagasaki,8274
560,Ankara,Nagoya,8612
561,Ankara,Nairobi,4614
562,Ankara,Nanjing (Nanking),7481
563,Ankara,Naples,1581
564,Ankara,New Delhi,4213
565,Ankara,Newcastle-on-Tyne,3042
566,Ankara,Odessa,746
567,Ankara,Osaka,8554
568,Ankara,Oslo,2708
569,Ankara,Panama City,11220
570,Ankara,Paramaribo,9441
571,Ankara,Paris,2602
572,Ankara,Perth,11681
573,Ankara,Plymouth,3087
574,Ankara,Port Moresby,12736
575,Ankara,Prague,1832
576,Ankara,Rangoon,6537
577,Ankara,Reykjavk,4408
578,Ankara,Rio de Janeiro,10522
579,Ankara,Rome,1729
580,Ankara,Salvador,9399
581,Ankara,Santiago,13380
582,Ankara,St. Petersburg,2233
583,Ankara,So Paulo,10819
584,Ankara,Shanghai,7738
585,Ankara,Singapore,8309
586,Ankara,Sofia,856
587,Ankara,Stockholm,2392
588,Ankara,Sydney,14584
589,Ankara,Tananarive,6706
590,Ankara,Teheran,1713
591,Ankara,Tokyo,8765
592,Ankara,Tripoli,1921
593,Ankara,Venice,1784
594,Ankara,Veracruz,11591
595,Ankara,Vienna,1610
596,Ankara,Vladivostok,7724
597,Ankara,Warsaw,1644
598,Ankara,Wellington,16817
599,Ankara,Zrich,2119
600,Asuncin,Aberdeen,10521
601,Asuncin,Adelaide,13108
602,Asuncin,Algiers,9376
603,Asuncin,Amsterdam,10538
